EXTRACTIONDATE,REG,Descripción series,Date (varchar),Date (#),IPC,YEAR,MONTH,LIKELIHOODOFDEFAULT,DATE
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jan.2009,2009-01-01,59.05,2009,01,0.052036,2009-01-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Feb.2009,2009-02-01,58.28,2009,02,0.050888,2009-02-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Mar.2009,2009-03-01,58.3,2009,03,0.050589,2009-03-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Apr.2009,2009-04-01,58.21,2009,04,0.058679,2009-04-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,May.2009,2009-05-01,58.09,2009,05,0.065349,2009-05-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jun.2009,2009-06-01,58.28,2009,06,0.067624,2009-06-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jul.2009,2009-07-01,58.03,2009,07,0.06899,2009-07-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Aug.2009,2009-08-01,57.77,2009,08,0.068221,2009-08-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Sep.2009,2009-09-01,58.42,2009,09,0.069138,2009-09-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Oct.2009,2009-10-01,58.42,2009,10,0.079192,2009-10-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Nov.2009,2009-11-01,58.19,2009,11,0.075694,2009-11-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Dec.2009,2009-12-01,57.97,2009,12,0.074788,2009-12-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jan.2010,2010-01-01,58.27,2010,01,0.083848,2010-01-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Feb.2010,2010-02-01,58.43,2010,02,0.091179,2010-02-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Mar.2010,2010-03-01,58.48,2010,03,0.092471,2010-03-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Apr.2010,2010-04-01,58.75,2010,04,0.101637,2010-04-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,May.2010,2010-05-01,58.96,2010,05,0.10359,2010-05-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jun.2010,2010-06-01,58.96,2010,06,0.089961,2010-06-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jul.2010,2010-07-01,59.34,2010,07,0.096109,2010-07-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Aug.2010,2010-08-01,59.28,2010,08,0.096293,2010-08-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Sep.2010,2010-09-01,59.52,2010,09,0.098058,2010-09-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Oct.2010,2010-10-01,59.58,2010,10,0.098337,2010-10-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Nov.2010,2010-11-01,59.62,2010,11,0.092078,2010-11-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Dec.2010,2010-12-01,59.69,2010,12,0.090936,2010-12-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jan.2011,2011-01-01,59.85,2011,01,0.089848,2011-01-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Feb.2011,2011-02-01,59.99,2011,02,0.095455,2011-02-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Mar.2011,2011-03-01,60.45,2011,03,0.097173,2011-03-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Apr.2011,2011-04-01,60.64,2011,04,0.094676,2011-04-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,May.2011,2011-05-01,60.88,2011,05,0.140466,2011-05-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jun.2011,2011-06-01,60.99,2011,06,0.097461,2011-06-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jul.2011,2011-07-01,61.06,2011,07,0.099735,2011-07-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Aug.2011,2011-08-01,61.16,2011,08,0.096371,2011-08-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Sep.2011,2011-09-01,61.47,2011,09,0.098428,2011-09-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Oct.2011,2011-10-01,61.76,2011,10,0.099095,2011-10-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Nov.2011,2011-11-01,61.96,2011,11,0.101633,2011-11-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Dec.2011,2011-12-01,62.34,2011,12,0.100271,2011-12-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jan.2012,2012-01-01,62.39,2012,01,0.09818,2012-01-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Feb.2012,2012-02-01,62.63,2012,02,0.101306,2012-02-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Mar.2012,2012-03-01,62.74,2012,03,0.102292,2012-03-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Apr.2012,2012-04-01,62.77,2012,04,0.101096,2012-04-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,May.2012,2012-05-01,62.79,2012,05,0.103525,2012-05-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jun.2012,2012-06-01,62.6,2012,06,0.106912,2012-06-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jul.2012,2012-07-01,62.59,2012,07,0.103343,2012-07-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Aug.2012,2012-08-01,62.73,2012,08,0.116546,2012-08-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Sep.2012,2012-09-01,63.21,2012,09,0.10444,2012-09-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Oct.2012,2012-10-01,63.57,2012,10,0.10709,2012-10-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Nov.2012,2012-11-01,63.28,2012,11,0.105074,2012-11-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Dec.2012,2012-12-01,63.26,2012,12,0.137358,2012-12-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jan.2013,2013-01-01,63.38,2013,01,0.086437,2013-01-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Feb.2013,2013-02-01,63.45,2013,02,0.068131,2013-02-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Mar.2013,2013-03-01,63.81,2013,03,0.057127,2013-03-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Apr.2013,2013-04-01,63.69,2013,04,0.060373,2013-04-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,May.2013,2013-05-01,63.66,2013,05,0.056686,2013-05-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jun.2013,2013-06-01,63.95,2013,06,0.060572,2013-06-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jul.2013,2013-07-01,63.99,2013,07,0.093081,2013-07-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Aug.2013,2013-08-01,64.17,2013,08,0.061089,2013-08-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Sep.2013,2013-09-01,64.48,2013,09,0.060156,2013-09-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Oct.2013,2013-10-01,64.67,2013,10,0.05993,2013-10-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Nov.2013,2013-11-01,64.83,2013,11,0.05939,2013-11-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Dec.2013,2013-12-01,65.06,2013,12,0.08097,2013-12-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jan.2014,2014-01-01,65.18,2014,01,0.084808,2014-01-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Feb.2014,2014-02-01,65.49,2014,02,0.069269,2014-02-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Mar.2014,2014-03-01,66.04,2014,03,0.06153,2014-03-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Apr.2014,2014-04-01,66.45,2014,04,0.063847,2014-04-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,May.2014,2014-05-01,66.68,2014,05,0.064136,2014-05-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jun.2014,2014-06-01,66.71,2014,06,0.068132,2014-06-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jul.2014,2014-07-01,66.87,2014,07,0.09492,2014-07-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Aug.2014,2014-08-01,67.08,2014,08,0.073566,2014-08-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Sep.2014,2014-09-01,67.64,2014,09,0.067158,2014-09-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Oct.2014,2014-10-01,68.35,2014,10,0.06846,2014-10-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Nov.2014,2014-11-01,68.37,2014,11,0.072662,2014-11-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Dec.2014,2014-12-01,68.08,2014,12,0.093735,2014-12-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jan.2015,2015-01-01,68.14,2015,01,0.082932,2015-01-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Feb.2015,2015-02-01,68.38,2015,02,0.072935,2015-02-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Mar.2015,2015-03-01,68.81,2015,03,0.08181,2015-03-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Apr.2015,2015-04-01,69.2,2015,04,0.081217,2015-04-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,May.2015,2015-05-01,69.32,2015,05,0.070347,2015-05-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jun.2015,2015-06-01,69.66,2015,06,0.077529,2015-06-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jul.2015,2015-07-01,69.95,2015,07,0.078098,2015-07-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Aug.2015,2015-08-01,70.43,2015,08,0.079254,2015-08-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Sep.2015,2015-09-01,70.79,2015,09,0.08164,2015-09-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Oct.2015,2015-10-01,71.08,2015,10,0.082449,2015-10-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Nov.2015,2015-11-01,71.06,2015,11,0.081709,2015-11-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Dec.2015,2015-12-01,71.06,2015,12,0.103726,2015-12-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Jan.2016,2016-01-01,71.4,2016,01,0.102718,2016-01-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Feb.2016,2016-02-01,71.6,2016,02,0.080181,2016-02-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Mar.2016,2016-03-01,71.87,2016,03,0.086175,2016-03-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,Apr.2016,2016-04-01,72.1,2016,04,0.0893,2016-04-01
2024-03-21 21:55:32.380,1.0,IPC general (empalme BCCh) ,May.2016,2016-05-01,72.26,2016,05,0.087286,2016-05-01
