EXTRACTIONDATE,REG,Descripción series,YEAR,DATE,INDEX,LIKELIHOODOFDEFAULT
2024-03-23,15.0,"Pasada de vehículos por plazas de peajes y pórticos de autopistas interurbanas, unidades",2014,2014-12-31,9557302.83333333,0.074191
2024-03-23,15.0,"Pasada de vehículos por plazas de peajes y pórticos de autopistas interurbanas, unidades",2015,2015-12-31,10483251.6666667,0.081544
2024-03-23,15.0,"Pasada de vehículos por plazas de peajes y pórticos de autopistas interurbanas, unidades",2016,2016-12-31,11826733.6666667,0.099478
2024-03-23,15.0,"Pasada de vehículos por plazas de peajes y pórticos de autopistas interurbanas, unidades",2017,2017-12-31,13521491.75,0.099008
2024-03-23,15.0,"Pasada de vehículos por plazas de peajes y pórticos de autopistas interurbanas, unidades",2018,2018-12-31,17355750.5,0.096684
2024-03-23,15.0,"Pasada de vehículos por plazas de peajes y pórticos de autopistas interurbanas, unidades",2019,2019-12-31,21671743.0833333,0.108227
2024-03-23,15.0,"Pasada de vehículos por plazas de peajes y pórticos de autopistas interurbanas, unidades",2020,2020-12-31,16248577.4166667,0.145762
2024-03-23,15.0,"Pasada de vehículos por plazas de peajes y pórticos de autopistas interurbanas, unidades",2021,2021-12-31,22069130.0833333,0.153499
2024-03-23,15.0,"Pasada de vehículos por plazas de peajes y pórticos de autopistas interurbanas, unidades",2022,2022-12-31,25013302.25,0.181699
2024-03-23,15.0,"Pasada de vehículos por plazas de peajes y pórticos de autopistas interurbanas, unidades",2023,2023-12-31,24502044.1666667,0.265869
