EXTRACTIONDATE,COUNTRY,DATE,YEAR,Rate(percent),LIKELIHOODOFDEFAULT
2024-03-22 12:51:02.513,Chile,2006-12-31,2006,8.0,0.032722
2024-03-22 12:51:02.513,Chile,2007-12-31,2007,7.0,0.048319
2024-03-22 12:51:02.513,Chile,2008-12-31,2008,7.8,0.057514
2024-03-22 12:51:02.513,Chile,2009-12-31,2009,11.1,0.065448
2024-03-22 12:51:02.513,Chile,2010-12-31,2010,8.3,0.094427
2024-03-22 12:51:02.513,Chile,2011-12-31,2011,7.3,0.101237
2024-03-22 12:51:02.513,Chile,2012-12-31,2012,6.6,0.107576
2024-03-22 12:51:02.513,Chile,2013-12-31,2013,6.1,0.068015
2024-03-22 12:51:02.513,Chile,2014-12-31,2014,6.5,0.074191
2024-03-22 12:51:02.513,Chile,2015-12-31,2015,6.3,0.081544
2024-03-22 12:51:02.513,Chile,2016-12-31,2016,6.7,0.099478
2024-03-22 12:51:02.513,Chile,2017-12-31,2017,7.0,0.099008
2024-03-22 12:51:02.513,Chile,2018-12-31,2018,7.4,0.096684
2024-03-22 12:51:02.513,Chile,2019-12-31,2019,7.2,0.108227
2024-03-22 12:51:02.513,Chile,2020-12-31,2020,10.8,0.145762
2024-03-22 12:51:02.513,Chile,2021-12-31,2021,8.9,0.153499
2024-03-22 12:51:02.513,Chile,2022-12-31,2022,7.9,0.181699
2024-03-22 12:51:02.513,Chile,2023-12-31,2023,8.8,0.265869
2024-03-22 12:51:02.513,Chile,2024-12-31,2024,9.0,0.754162
