FechaExtraccion,CicloFacturacion,FechaCorteCiclo,FechaInicioMes,FechaFinMes,FechaConta,Ruta_Documentos
2023-09-04T18:36:27.484Z,CICLON05,2020-03-18,2020-03-01,2020-03-31,2020-03-20,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON06,2020-04-24,2020-04-01,2020-04-30,2020-04-27,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON01,2020-04-30,2020-05-01,2020-05-31,2020-05-04,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON02,2020-05-04,2020-05-01,2020-05-31,2020-05-07,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON03,2020-05-07,2020-05-01,2020-05-31,2020-05-11,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON04,2020-05-12,2020-05-01,2020-05-31,2020-05-14,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON05,2020-05-18,2020-05-01,2020-05-31,2020-05-20,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON01,2020-05-31,2020-06-01,2020-06-30,2020-06-04,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON05,2020-06-18,2020-06-01,2020-06-30,2020-06-22,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON06,2020-06-24,2020-06-01,2020-06-30,2020-06-26,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON02,2020-07-04,2020-07-01,2020-07-31,2020-07-06,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON05,2020-07-18,2020-07-01,2020-07-31,2020-07-24,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON06,2020-07-24,2020-07-01,2020-07-31,2020-07-27,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON01,2020-07-31,2020-08-01,2020-08-31,2020-08-04,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON04,2020-03-12,2020-03-01,2020-03-31,2020-03-16,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
