FechaExtraccion,Fecha (Dato),Concesionaria,NumeroPuntoCobro,Categoria,Dia,Hora,TramoHorario,IndicadorSentido,TipoDeTarifa,Periodo,Cantidad,Importe
2023-11-02T18:45:42.716Z,2022-12-02,AVN,17,3,02,21:45," ",P,TBFP,202212,22,20209.86
2023-11-02T18:45:42.716Z,2022-12-11,AVN,3,1,11,09:30," ",O,TBFP,202212,311,85462.8
2023-11-02T18:45:42.716Z,2022-12-21,AVN,13,2,21,15:15," ",P,TBFP,202212,67,43135.94
2023-11-02T18:45:42.716Z,2022-12-11,AVN,15,1,11,18:15," ",P,TBFP,202212,369,40560.48
2023-11-02T18:45:42.716Z,2022-12-02,AVN,1,3,02,09:15," ",O,TBP,202212,90,50877.9
2023-11-02T18:45:42.716Z,2022-12-03,AVN,17,1,03,06:45," ",P,TBFP,202212,256,78389.76
2023-11-02T18:45:42.716Z,2022-12-10,AVN,10,1,10,15:15," ",O,TBFP,202212,578,136147.9
2023-11-02T18:45:42.716Z,2022-12-27,AVN,15,1,27,08:30," ",P,TBFP,202212,841,92442.72
2023-11-02T18:45:42.716Z,2022-12-04,AVN,1,3,04,18:45," ",O,TBFP,202212,7,1978.55
2023-11-02T18:45:42.716Z,2022-12-14,AVN,1,4,14,21:30," ",O,TBFP,202212,25,2355.5
2023-11-02T18:45:42.716Z,2022-12-18,AVN,1,3,18,02:00," ",O,TBFP,202212,11,3109.15
2023-11-02T18:45:42.716Z,2022-12-30,AVN,13,3,30,20:30," ",P,TBP,202212,6,11588.82
2023-11-02T18:45:42.716Z,2022-12-08,AVN,14,1,08,06:15," ",O,TBFP,202212,61,23037.26
2023-11-02T18:45:42.716Z,2022-12-30,AVN,15,4,30,01:15," ",P,TBFP,202212,5,549.6
2023-11-02T18:45:42.716Z,2022-12-20,AVN,4,2,20,13:45," ",P,TBFP,202212,89,48915.29
2023-11-02T18:45:42.716Z,2022-12-28,AVN,8,1,28,20:30," ",P,TBFP,202212,496,253133.6
2023-11-02T18:45:42.716Z,2022-12-29,AVN,4,2,29,00:30," ",P,TBFP,202212,8,4396.88
2023-11-02T18:45:42.716Z,2022-12-23,AVN,16,2,23,03:15," ",O,TBFP,202212,3,2261.22
2023-11-02T18:45:42.716Z,2022-12-05,AVN,17,3,05,01:45," ",P,TBFP,202212,13,11942.19
2023-11-02T18:45:42.716Z,2022-12-11,TSC,101,1,11,21:00," ",N,TBFP,202212,320,141440
2023-11-02T18:45:42.716Z,2022-12-29,AVN,5,4,29,11:15," ",O,TBFP,202212,10,3533.2
2023-11-02T18:45:42.716Z,2022-12-01,AVN,13,3,01,14:45," ",P,TBFP,202212,9,8691.57
2023-11-02T18:45:42.716Z,2022-12-04,AVN,5,4,04,06:15," ",O,TBFP,202212,1,353.32
2023-11-02T18:45:42.716Z,2022-12-16,AVN,7,3,16,20:30," ",O,TBFP,202212,21,5144.37
2023-11-02T18:45:42.716Z,2022-12-19,TSC,101,1,19,05:15," ",N,TBFP,202212,29,12818
2023-11-02T18:45:42.716Z,2022-12-25,AVN,16,3,25,18:00," ",O,TBFP,202212,3,3391.86
2023-11-02T18:45:42.716Z,2022-12-31,AVN,1,4,31,03:15," ",O,TBFP,202212,7,659.54
2023-11-02T18:45:42.716Z,2022-12-03,AVN,6,4,03,18:15," ",P,TBFP,202212,7,2473.24
2023-11-02T18:45:42.716Z,2022-12-16,AVN,12,2,16,21:45," ",O,TBFP,202212,15,1625.25
2023-11-02T18:45:42.716Z,2022-12-24,AVN,4,3,24,08:00," ",P,TBFP,202212,26,21434.66
2023-11-02T18:45:42.716Z,2022-12-06,AVN,13,2,06,14:30," ",P,TBFP,202212,60,38629.2
2023-11-02T18:45:42.716Z,2022-12-08,TSC,101,4,08,20:15," ",N,TBFP,202212,3,1326
2023-11-02T18:45:42.716Z,2022-12-12,AVN,4,2,12,08:45," ",P,TBFP,202212,84,46167.24
2023-11-02T18:45:42.716Z,2022-12-15,AVN,15,1,15,02:15," ",P,TBFP,202212,76,8353.92
2023-11-02T18:45:42.716Z,2022-12-11,AVN,3,2,11,06:00," ",O,TBFP,202212,5,2748.05
