FechaExtraccion,Año,PC,Cat,TipDia,ValMop,Hinicio,Hfin,Tarifa_Inf,Tarifa_Inicial,Tarifa_Periodo,Conces,Sentido
2023-11-06T16:16:37.76Z,2022,0015,1,0001,109.92,000000,182959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,2,0001,219.84,000000,182959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,3,0001,329.76,000000,182959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,4,0001,109.92,000000,182959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,1,0001,219.84,183000,215959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,2,0001,439.68,183000,215959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,3,0001,659.53,183000,215959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,4,0001,219.84,183000,215959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,1,0001,109.92,220000,235959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,2,0001,219.84,220000,235959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,3,0001,329.76,220000,235959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,4,0001,109.92,220000,235959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,1,0002,109.92,000000,125959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,2,0002,219.84,000000,125959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,3,0002,329.76,000000,125959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,4,0002,109.92,000000,125959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,1,0002,219.84,130000,145959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,2,0002,439.68,130000,145959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,3,0002,659.53,130000,145959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,4,0002,219.84,130000,145959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2022,0015,1,0002,109.92,150000,195959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2020,0007,1,0001,74.49,000000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,2,0001,148.98,000000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,3,0001,223.47,000000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,4,0001,74.49,000000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,1,0001,148.98,180000,195959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,2,0001,297.96,180000,195959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,3,0001,446.95,180000,195959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,4,0001,148.98,180000,195959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,1,0001,74.49,200000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,2,0001,148.98,200000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,3,0001,223.47,200000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,4,0001,74.49,200000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,1,0002,74.49,000000,125959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,2,0002,148.98,000000,125959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,3,0002,223.47,000000,125959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,4,0002,74.49,000000,125959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,1,0002,148.98,130000,145959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,2,0002,297.96,130000,145959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,3,0002,446.95,130000,145959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,4,0002,148.98,130000,145959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,1,0002,74.49,150000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,2,0002,148.98,150000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,3,0002,223.47,150000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,4,0002,74.49,150000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,1,0002,148.98,180000,205959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,2,0002,297.96,180000,205959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,3,0002,446.95,180000,205959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,4,0002,148.98,180000,205959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,1,0002,74.49,210000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,2,0002,148.98,210000,235959,,TBFP,TBFP,AVN,O
